id,name,position,overall_rating,age
2025001,Free Agent 2025-1,QB,67,25
2025002,Free Agent 2025-2,RB,69,26
2025003,Free Agent 2025-3,WR,71,27
2025004,Free Agent 2025-4,WR,73,28
2025005,Free Agent 2025-5,WR,75,29
2025006,Free Agent 2025-6,TE,77,30
2025007,Free Agent 2025-7,LT,79,31
2025008,Free Agent 2025-8,LG,81,24
2025009,Free Agent 2025-9,C,83,25
2025010,Free Agent 2025-10,RG,85,26
2025011,Free Agent 2025-11,RT,87,27
2025012,Free Agent 2025-12,EDGE,89,28
2025013,Free Agent 2025-13,DL,66,29
2025014,Free Agent 2025-14,LB,68,30
2025015,Free Agent 2025-15,CB,70,31
2025016,Free Agent 2025-16,S,72,24
2025017,Free Agent 2025-17,K,74,25
2025018,Free Agent 2025-18,P,76,26
2025019,Free Agent 2025-19,QB,78,27
2025020,Free Agent 2025-20,RB,80,28
2025021,Free Agent 2025-21,WR,82,29
2025022,Free Agent 2025-22,WR,84,30
2025023,Free Agent 2025-23,WR,86,31
2025024,Free Agent 2025-24,TE,88,24
2025025,Free Agent 2025-25,LT,65,25
